	Moshe Kasher	Pete Holmes	Nick Thune	Jonah Ray	Jen Kirkman	Kumail Nanjiani	Kurt Braunohler	Eddie Pepitone	Nikki Glaser	Ari Shaffir	dates
34	0.0037444509585667523	0.0008230910697649748	0.0024144405790670256	0.0018324469138117892	0.0018469725137007253	0.0017207820763844655	0.0004436617961461303	0.004435772286078312	0.0004436617961461303	0.0004971510273977614	2012-11-01
35	0.0029049500310948306	0.000851660249041913	0.002579591953406179	0.0019375614404031124	0.0019420882959780008	0.0018455059894707325	0.000492930893738087	0.0035790573922028722	0.000492930893738087	0.0005406271059098819	2012-12-01
36	0.002777154858840439	0.0010621963641692244	0.0027024715920886296	0.0019570625292297827	0.002020166871390107	0.001889653240112798	0.002147149746423773	0.0032416921480852277	0.0005343923923886523	0.0011135755022415581	2013-01-01
37	0.0024205708295240713	0.0010209404413765283	0.002642559078436015	0.001842278437014069	0.0018907935632742814	0.00196405830137893	0.003134501627036699	0.0027753710788011475	0.0005541116034482715	0.0012912374925875326	2013-02-01
38	0.0022223332125241094	0.001007834508271176	0.0026288237595368294	0.0018166391256185593	0.0018640893297238543	0.0019648445039538317	0.0030735186195504608	0.0025506254387675496	0.0005512856802884663	0.0014476446243748811	2013-03-01
39	0.0020456282111144825	0.0009984503566337352	0.002605756577656819	0.0017799719971290523	0.00307313654649929	0.001988808063425318	0.0029875592432049795	0.0023379838298874713	0.0005567448445817042	0.0015803989322826092	2013-04-01
40	0.002105038351294354	0.0010574745901762192	0.0026366832383760016	0.0018009258163306672	0.0034479732886974652	0.0028083467004233185	0.0033478493550541818	0.0029417393649786698	0.0005872354639512599	0.0019220281505793156	2013-05-01
41	0.0019730507853819306	0.001006504928900624	0.002491173078044319	0.001697170513830249	0.0034931115810566153	0.0029970090180081333	0.003337401775267577	0.002704133561559473	0.0005752543078842571	0.002122200023477047	2013-06-01
42	0.0019291315270794024	0.0009307873473564468	0.002318201847017013	0.0015860721073667529	0.0034331270347060443	0.002994467010975039	0.0032817274415465427	0.0035672104338501454	0.0005561819538877125	0.0021792570937169456	2013-07-01
43	0.0019181675698925294	0.0011261952805090545	0.0022239685577429362	0.0015064021055948339	0.003459407750210931	0.004425277954895587	0.0032729861127309993	0.003549537554464711	0.0005369729577439644	0.002296618252804262	2013-08-01
44	0.0018707130804229619	0.001176090719446455	0.002115865415218552	0.0014530122231200544	0.0034954110605422348	0.004584275378218946	0.004236128464920397	0.004734181613338395	0.0005491939443861915	0.0022953899618708	2013-09-01
45	0.0017700366718474943	0.0011474199127021977	0.0020063753278539106	0.0016215867628867054	0.003424010628601376	0.004486917365709491	0.004095588982024183	0.004563449377804261	0.0005452924964700389	0.0023045133998424966	2013-10-01
46	0.001652474411109185	0.0011151512468392112	0.0018747524014109313	0.0015375475635576042	0.0033559989082486545	0.004413371951868383	0.003919428625751111	0.004455460724178202	0.0014283497217434684	0.0022936877390922934	2013-11-01
47	0.0016925577715275746	0.0011191921089159264	0.0018463003974293199	0.0014746483446280846	0.0032864183742207062	0.004297484189980583	0.004216185971794792	0.004291012014730854	0.0013535608189015314	0.0022585871563352146	2013-12-01
48	0.0016550880280314108	0.0011274701169810108	0.0020663607830300056	0.00192903682327459	0.0031964658188484126	0.004202266956253136	0.004272837497018722	0.004163111288134677	0.0013666872693090114	0.0021871576240464754	2014-01-01
49	0.0016915755371176933	0.0011376084629887311	0.0020379206320281177	0.0019717729472982365	0.0034497614764328723	0.004162380122192335	0.004184109261047938	0.004076702263165758	0.0014096398024266716	0.0022889361025662408	2014-02-01
50	0.001792967168857011	0.0011567176211611783	0.0019879325479418247	0.002244840643205235	0.0034944707369685577	0.0040827778879344275	0.004181948940173259	0.003970402376682031	0.0013889952520945961	0.0022893604289088666	2014-03-01
51	0.0018645605418821244	0.001153473414315875	0.0019123352161379051	0.002178758237694568	0.003419962275048	0.00397711832202996	0.004069264776088293	0.0038415286793082597	0.0015483390459646983	0.002307931406943634	2014-04-01
52	0.001834150065600304	0.0011584353347037883	0.0018732733178481022	0.0021575564885296227	0.003358508830124858	0.004009023846626005	0.003970053091099708	0.0037422581719722394	0.0014961273122963503	0.002577940809865729	2014-05-01
53	0.0019522545710264564	0.0024421831376861057	0.0018173203402015905	0.0021090662292744195	0.0032605644674091982	0.0038946874073023463	0.003833509637131894	0.0036150108252378543	0.0014538307291607332	0.002532366546227679	2014-06-01
54	0.0019425541379934205	0.0029503498500278564	0.0018516618407491802	0.002051530610865298	0.0034012972319220885	0.0037744024829905855	0.00374620379601145	0.003560806147159301	0.0014471514779728016	0.002447619300439037	2014-07-01
55	0.0018947268152328214	0.0029681642395102325	0.002524651331075226	0.0021569498035362467	0.0033212223095163054	0.0036606750703604266	0.003626697040672142	0.003478155501799195	0.0013988054488269564	0.0023928515017295066	2014-08-01
56	0.0018897936160234417	0.0028991936086893958	0.002490432397229955	0.0022306193345856804	0.0032760953645475273	0.003661806600671822	0.0035389929528806727	0.003408239544744581	0.001483319455862862	0.0024311233567796808	2014-09-01
57	0.0018658686634092504	0.0028255659677958373	0.0024037911593707906	0.0021618062650516174	0.0032089130294834798	0.0035523237823420536	0.0034429905405848555	0.003316435994693454	0.001426690838229383	0.0024129248515752425	2014-10-01
58	0.0018435756708218487	0.0027561151430519197	0.002352802432975519	0.0021128853162292556	0.0031329332936447787	0.003459947301806743	0.0033558570754230097	0.003299637811306937	0.0013920840748309047	0.0023764117260442817	2014-11-01
59	0.001822563318927443	0.002707902584913569	0.00230306053230942	0.0020639944279431275	0.003089788487498374	0.0033795884477201667	0.0032937944692711537	0.003247310922462693	0.001352372609423461	0.002364806849745232	2014-12-01
60	0.0017936130676496128	0.0026443612514391998	0.002268772973599379	0.0020389447209081825	0.0030237692825403084	0.0033136624485501295	0.003340538058722919	0.003179558681156156	0.0013392507551002193	0.002322140791988994	2015-01-01
61	0.0017763336647301346	0.0026017663053952617	0.002237701546337451	0.002022194376698561	0.0029658324077582758	0.0032503431546869314	0.0032828115347129047	0.003114943993590903	0.0013343868985387004	0.0022877739150679783	2015-02-01
62	0.0017856871133842267	0.0026627783887154424	0.0022113604704678386	0.002001003704459938	0.0029025519486493814	0.0033535049471066403	0.0032374759035688093	0.0030514146794125667	0.0013266900136584938	0.002690006563990655	2015-03-01
63	0.001776094667283803	0.0026974899949582924	0.0023346482863694958	0.0019665073529978603	0.002873112726635361	0.0032721523160618715	0.003172717542401353	0.003012157800031506	0.001301870300143607	0.0026603075641332724	2015-04-01
64	0.0017500581811782136	0.0026349961863855876	0.0023106295735344593	0.00192435469698376	0.002807032621522957	0.0032027344485272514	0.0031960214741126756	0.0029475431399004328	0.0013218022983509379	0.0026098683126865338	2015-05-01
65	0.0017534186373666652	0.002599793720201601	0.002292762945970074	0.0019126188331453518	0.002787703761598098	0.0031664714515683015	0.0031643326999604405	0.0029150323812555255	0.0012919969808697874	0.002598546644885262	2015-06-01
66	0.0017351643980662364	0.0025551890564448274	0.0022471561732301474	0.0018760072079916416	0.0027453679699230883	0.003115332968948119	0.003110107025020241	0.0028564608983213157	0.001277419503650308	0.0025549526848188484	2015-07-01
67	0.0017342778431616366	0.002513830504343282	0.0022238595618608173	0.001856708598308107	0.002703942196670872	0.0030655930362116536	0.003070469739314176	0.002806684030071317	0.001447876044908961	0.0025082527193156286	2015-08-01
68	0.0017212339989223164	0.0024811911943431117	0.0021766581621205133	0.0020105371203167975	0.0030245075053994567	0.0030125226758575914	0.003014734291402509	0.0027482129900407784	0.0014186639662141125	0.002467096766511477	2015-09-01
69	0.0017080134148260183	0.0024338754845911253	0.00212903555355014	0.0019766232978745747	0.0029570729517108068	0.002958161215139385	0.002968507088702258	0.002690276116679957	0.0023016384658508483	0.002428394208677264	2015-10-01
70	0.0016883254695670032	0.0024842825344395117	0.0020953089152761545	0.0019449800109541157	0.0029024535468467135	0.0029027713050206153	0.002916781609234804	0.0026422170540312618	0.0023627512840287412	0.002385208110126805	2015-11-01
71	0.0016695488606089022	0.0024498391881172983	0.002061645935920927	0.0019195891035059082	0.0028572839959175927	0.002867303968867138	0.0028793432268606296	0.0026005603226515656	0.0023379363607279697	0.002353121669485703	2015-12-01
72	0.0016537690466831064	0.002402726278338113	0.002033556459657327	0.0018953222312028915	0.0028057325569497073	0.0028223441260597478	0.0028345818572740496	0.002619882813845229	0.002300040848943965	0.002322131963515146	2016-01-01
73	0.0016470582543705666	0.002385065927995711	0.0020177323013754996	0.001883929154186562	0.0027711911575598017	0.0027974481108295605	0.0028038016939177595	0.0025830604463055883	0.0022721792129035095	0.002306207805187519	2016-02-01
74	0.0016502389360216123	0.0024472647836749086	0.002001900731355061	0.0018879646021980735	0.002748779706091139	0.0027850466757122056	0.002789408827181468	0.002559622355003413	0.002246216180176376	0.0022938403300369822	2016-03-01
75	0.0016319768681816308	0.002410477462665939	0.0019701863029748944	0.001869881926283439	0.002700944065667072	0.002751727815202501	0.0027503930234710405	0.002514622140444761	0.0022222051025056035	0.002276863083032365	2016-04-01
76	0.0016344207622446304	0.0024697795612195696	0.0019628563019515118	0.0018805199578855387	0.0026756702104448102	0.0027295090400281967	0.0027235860961592672	0.002488069274645831	0.002192578517813117	0.002264478353795936	2016-05-01
77	0.0016321434293867392	0.002431671730584791	0.0027315274822716368	0.0019222862331448492	0.0026445258595526495	0.0026953172042478483	0.0026979588947284743	0.002458397698253856	0.002433131764885232	0.0022398020748314877	2016-06-01
78	0.0016351242782746116	0.0023900095057820423	0.002704552481368908	0.0019402701452625576	0.002604502486656373	0.0026759017308671707	0.0026729441087577238	0.00244204319207643	0.002402814473894712	0.002217156097849321	2016-07-01
79	0.001621857960453724	0.002357556905292336	0.002673774478936867	0.0019316888409702856	0.002572786431659258	0.00265222190202571	0.0026447853458520195	0.0024163538236308658	0.002374415871024052	0.0021959659369164266	2016-08-01
80	0.0016099390072191377	0.002331144267191416	0.002645297187121555	0.0019235112359040746	0.0025399101272338812	0.0026211208677622074	0.0026145726912312974	0.002384115032542059	0.002502227855604997	0.002173659360864471	2016-09-01
81	0.0015983015039709102	0.0022978934001137916	0.002611216975240122	0.0019047977766930885	0.0025337023169303198	0.002590210217071506	0.0025784662592812533	0.0023496495745869254	0.0024661684561702786	0.0021493631440178515	2016-10-01
82	0.0015778581252835178	0.002249359435698534	0.00256991330921628	0.0018883691652859167	0.002492424439102383	0.0025637362367256582	0.0025405351395936466	0.002312315926008552	0.002425843023789972	0.0021383209372603435	2016-11-01
83	0.0015692027747483902	0.0022239395139502	0.0025474917235872173	0.0018818271763043886	0.0024671976401786106	0.0025433830491104416	0.002514035184985858	0.002293594496674433	0.002394909953922591	0.0021177504509588834	2016-12-01
84	0.0016009186725032302	0.0022438258353038513	0.0025191891035075175	0.0018881076321851536	0.0024414776507063617	0.002516988029828252	0.0024852368756821436	0.002268475889679686	0.00236668183407	0.0021017281405881316	2017-01-01
85	0.0015931785045263983	0.0022185371843188653	0.002534383486235195	0.0018827365593775997	0.0024154148981891475	0.002500880270852459	0.0024566267898466668	0.002243233432837519	0.002335765959130379	0.0020870257091055544	2017-02-01
