	date	Joe Rogan pr	Duncan Trussell pr	Ari Shaffir pr	Chris Hardwick pr
61	2017-02-01	0.128499966874118	0.059738889310726524	0.03407285229926243	0.03506486464951858
62	2017-03-01	0.12923749213557392	0.05613809072396487	0.03266445784110846	0.03425812509155273
63	2017-04-01	0.1274137371122208	0.055215899402850786	0.031857919512147705	0.03392566719571139
64	2017-05-01	0.12937509282370555	0.054517551874772086	0.031261761467799	0.03230408565007152
65	2017-06-01	0.1262352006496875	0.05107096276684875	0.029899227783583036	0.03131240461842635
66	2017-07-01	0.12481460991098997	0.05035573470259493	0.0295647269369397	0.033287225678424466
67	2017-08-01	0.1236018138204935	0.05019190221060008	0.029123002620589807	0.03296519427652678
68	2017-09-01	0.12295550981926273	0.04982530771899946	0.02895191132912392	0.0326982662638776
69	2017-10-01	0.12141188709748454	0.049633597855664985	0.029076080172010788	0.03220934515013956
70	2017-11-01	0.12082018560156799	0.04904762499165727	0.03008025158907874	0.030306194154795643
71	2017-12-01	0.1195387678639034	0.04857129051006241	0.030082200903264883	0.02997062091339637
72	2018-01-01	0.12029593355159646	0.04820034593150469	0.029096739233466354	0.02937938606085258
73	2018-02-01	0.11856519656766307	0.048196741309668306	0.02912173328634141	0.02879529410473549
74	2018-03-01	0.1175739484888469	0.0475664221931838	0.028815784338304777	0.028496697250594616
75	2018-04-01	0.1167894810446525	0.04684063338651845	0.029046388522722573	0.027959704967578648
76	2018-05-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
77	2018-06-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
78	2018-07-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
79	2018-08-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
80	2018-09-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
81	2018-10-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
82	2018-11-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
83	2018-12-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
84	2019-01-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
85	2019-02-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
86	2019-03-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
87	2019-04-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
88	2019-05-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
89	2019-06-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
90	2019-07-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
91	2019-08-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
92	2019-09-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
93	2019-10-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
94	2019-11-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
95	2019-12-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
96	2020-01-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
97	2020-02-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
98	2020-03-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
99	2020-04-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
100	2020-05-01	0.11673772464388543	0.04670024259321703	0.029022844598425204	0.027910603591021845
