	Joe Rogan	Duncan Trussell	Ari Shaffir	Chris Hardwick	Jesse Thorn	Alison Rosen	Marshall Poe	Jordan Morris	Bert Kreischer	Joey Diaz	dates
30	0.1442713480604825	0.13639724089364444	0.022109777442361176	0.046629265984392564	0.025230559184084587	0.006568108548347976	0.013843969236197712	0.025230559184084587	0.0002684187431993958	0.0002684187431993958	2012-07-01
31	0.15771036283050072	0.1519833456657866	0.02299471675172143	0.04559865543973726	0.024685100758811227	0.005558748744342004	0.013219596381986345	0.024685100758811227	0.00024809969059222045	0.00024809969059222045	2012-08-01
32	0.15933671929869617	0.15158668060491973	0.02285711406193016	0.04520767757173628	0.025249578285615432	0.006639469267462201	0.013157037412646075	0.02524957828561543	0.00023567940957134754	0.00023567940957134754	2012-09-01
33	0.16133084366529074	0.15684865466998377	0.024895093069714165	0.04607419751812185	0.023121747270222228	0.010697672314541799	0.012420746469975529	0.023121747270222228	0.00021912008447444735	0.00021912008447444735	2012-10-01
34	0.15390398477362888	0.15773165848956053	0.024084594609515838	0.04223566819635854	0.029862807577199973	0.025441772950003043	0.01040609085967155	0.029862807577199977	0.0001834275747215504	0.0001834275747215504	2012-11-01
35	0.15546736348183693	0.1596978883669031	0.023511514920621028	0.041932407071436	0.029500048020884507	0.025902262000148835	0.010477166746331342	0.029500048020884507	0.00017423803105889987	0.00017423803105889987	2012-12-01
36	0.17320181602961385	0.18359112518956788	0.025445902781084453	0.03937016860233298	0.023587324878805407	0.022969284030790457	0.009783421245132488	0.023587324878805407	0.0012931820073868137	0.00016278510238509198	2013-01-01
37	0.17519621016311923	0.18723468716827368	0.026342096951804225	0.032721222161909966	0.021047438722658362	0.02232812828693109	0.010100607672588472	0.021047438722658362	0.0018286337384384845	0.0001529813958666924	2013-02-01
38	0.17868824673030217	0.18774028708008308	0.02746417115400407	0.03189345776605266	0.01898503572778937	0.020791506468	0.010288316677702202	0.01898503572778937	0.005143257063056051	0.00014454520818523272	2013-03-01
39	0.17649846160911933	0.18570945948414894	0.026940706254546788	0.03080451631903349	0.020532117426643733	0.021554937065838047	0.010185447391847817	0.020532117426643733	0.006052833225110068	0.0001343412573118546	2013-04-01
40	0.17174919773590902	0.18230448012216527	0.02674059783092454	0.03004366453305565	0.021247528524832783	0.02262937021073677	0.010206087597197211	0.021247528524832783	0.0065845396158004795	0.0001288374998889379	2013-05-01
41	0.17183903867984074	0.1824731115425183	0.026646874887511295	0.029675111227981863	0.02110216076999811	0.023195395598742962	0.010130699780978882	0.02110216076999811	0.0069024899455372565	0.00012137591146089944	2013-06-01
42	0.17056862491694957	0.18335667191667976	0.025998339219040285	0.03236914282149637	0.02534124819336765	0.022317602380781624	0.010310447227904675	0.02534124819336765	0.006662863770861748	0.00011162871448070966	2013-07-01
43	0.1668695572974826	0.17808331222342	0.025107317362321382	0.03170864822131344	0.026165709141281225	0.02220960009515864	0.010906829881177983	0.02616570914128122	0.007543876483777996	0.00010812734357850254	2013-08-01
44	0.16712476558494074	0.162995623623742	0.04037740752256231	0.031324810108691446	0.026079143572281766	0.02184053569270456	0.010800809282809938	0.026079143572281766	0.00805637982695101	0.0001034421881880852	2013-09-01
45	0.16193850158687179	0.14395564286624832	0.039255236567510995	0.03183482667657905	0.028367672047621355	0.02224961030939112	0.011012430472872923	0.028367672047621355	0.00826849323694967	9.882952233209604e-05	2013-10-01
46	0.1616474442594983	0.1434287445337391	0.0385152749763763	0.03127535987686258	0.0271127546171989	0.020925919885542262	0.010913005422391646	0.0271127546171989	0.008417458685024455	9.297452165481397e-05	2013-11-01
47	0.1703798221038531	0.1552444589935082	0.038910110139397006	0.02792957745830454	0.024700960828980018	0.034803398098736935	0.010408759949393477	0.024700960828980018	0.011402626350339607	7.985157772457898e-05	2013-12-01
48	0.17275880837287524	0.1564419767928279	0.03886972074871126	0.02744638679383333	0.02491477202158232	0.03485211190558261	0.010283445059532994	0.02491477202158232	0.01305164854094406	7.640283204641074e-05	2014-01-01
49	0.17315965096713992	0.16334475766015222	0.034678999856405344	0.02728051742016662	0.024806788737078443	0.035824036316773666	0.010444432147409763	0.024806788737078443	0.01328346626677848	7.386495688028213e-05	2014-02-01
50	0.1686615337760784	0.1563234057648053	0.036899142775727964	0.02665299191500027	0.024659916773741783	0.035308305084615924	0.010674565425810079	0.024659916773741783	0.013355917105513579	7.08071941638296e-05	2014-03-01
51	0.16802433553451518	0.15202685166144544	0.036135143042284705	0.026164123501117652	0.02422714864270801	0.03466742923765847	0.010671592761097278	0.02422714864270801	0.014272990997515153	0.0003032790330015073	2014-04-01
52	0.1671342620604373	0.15722077337059367	0.03369192593990423	0.027567324307942075	0.024248682924693288	0.035132159389246756	0.010693713101936314	0.024248682924693288	0.014467670397187887	0.0005264757327207892	2014-05-01
53	0.16566527254017976	0.15570125683256789	0.03387490472995909	0.02614390182099809	0.02412693602563533	0.03608420696454981	0.010832568597562858	0.024126936025635325	0.016891300592322966	0.0007306236116145866	2014-06-01
54	0.163117467711588	0.15436393219865438	0.03293130816777901	0.025898406512122035	0.0268926706304502	0.03776895072504057	0.010605162898208727	0.0268926706304502	0.016876193089360805	0.0010429356019747418	2014-07-01
55	0.16028770833682468	0.14838232603718876	0.03225074585598437	0.02634054011257138	0.026404694493877796	0.03141149515009921	0.010586883104778955	0.026404694493877796	0.015623223442507595	0.0015355450845599742	2014-08-01
