	podcast1	podcast2	score
217	The Duncan Trussell Family Hour	Bullseye with Jesse Thorn	1106529902
218	The Duncan Trussell Family Hour	Stop Podcasting Yourself	564263322
219	The Duncan Trussell Family Hour	SPONTANEANATION with Paul F. Tompkins	25788852
220	The Duncan Trussell Family Hour	The Pod F. Tompkast	462116569
221	The Duncan Trussell Family Hour	The Dead Authors Podcast	115518358
222	The Duncan Trussell Family Hour	The Bone Zone	13152814504
223	The Duncan Trussell Family Hour	Economic Rockstar	0
224	The Duncan Trussell Family Hour	Don't Ever Change with John Roy	1323493900
225	The Duncan Trussell Family Hour	The K Ohle with Kurt Braunohler	232298477
226	The Duncan Trussell Family Hour	Steve Agee: Uhhh	169573060
227	The Duncan Trussell Family Hour	High and Mighty	368236055
228	The Duncan Trussell Family Hour	Kumail Nanjiani's The X-Files Files	438997410
229	The Duncan Trussell Family Hour	Getting Curious with Jonathan Van Ness	65763390
230	The Duncan Trussell Family Hour	Hollywood Handbook	0
231	The Duncan Trussell Family Hour	RuPaul: What's The Tee with Michelle Visage	21937616
232	The Duncan Trussell Family Hour	Shane And Friends	0
233	The Duncan Trussell Family Hour	Not Too Deep with Grace Helbig	199590343
234	The Duncan Trussell Family Hour	Think Again – a Big Think Podcast	141965326
235	The Duncan Trussell Family Hour	Rationally Speaking	0
236	The Duncan Trussell Family Hour	Skepticality: The Official Podcast of Skeptic Magazine	131707968
237	The Duncan Trussell Family Hour	Friendly Atheist Podcast	53260416
238	The Duncan Trussell Family Hour	Snoop Dogg's GGN Podcast	0
239	The Duncan Trussell Family Hour	Katie Couric	0
240	The Duncan Trussell Family Hour	Entrepreneurial Thought Leaders	0
241	The Duncan Trussell Family Hour	The Ezra Klein Show	48801909
242	The Duncan Trussell Family Hour	The Talk Show With John Gruber	0
243	The Duncan Trussell Family Hour	Here We Are	98771060
244	The Duncan Trussell Family Hour	Double Date Podcast	211955433
245	The Duncan Trussell Family Hour	It's All Happening	2115760555
246	The Duncan Trussell Family Hour	The Astral Hustle with Cory Allen	2838630434
247	The Duncan Trussell Family Hour	Mindrolling with Raghu Markus	1711081966
248	The Duncan Trussell Family Hour	Chris Grosso The Indie Spiritualist	198436301
249	The Duncan Trussell Family Hour	London Real	1149262699
250	The Duncan Trussell Family Hour	Onnit Podcast	269568200
251	The Duncan Trussell Family Hour	Brody Stevens Festival Of Sports	28075710
252	The Duncan Trussell Family Hour	The Steven Brody Stevens Festival Of Friendship	1497529380
253	The Duncan Trussell Family Hour	Wait Wait... Don't Tell Me!	0
254	The Duncan Trussell Family Hour	Superego	310876930
255	The Duncan Trussell Family Hour	Savage Lovecast	0
256	The Duncan Trussell Family Hour	Tom Rhodes Radio Smart Camp	687483758
257	The Duncan Trussell Family Hour	The Full Charge Power Hour featuring Matt Fulchiron	332516839
258	The Duncan Trussell Family Hour	The 31 with Brandt Tobler	965642333
259	The Duncan Trussell Family Hour	Good Times: With Steve Simeone	638867112
260	The Duncan Trussell Family Hour	Twisting The Wind with Johnny Pemberton	474620652
261	The Duncan Trussell Family Hour	LIVE TO TAPE with Johnny Pemberton	729160257
262	The Duncan Trussell Family Hour	Mohr Stories with Jay Mohr	0
263	The Duncan Trussell Family Hour	The Pony Hour	54101607
264	The Duncan Trussell Family Hour	Jocko Podcast	347735738
265	The Duncan Trussell Family Hour	The Tim Ferriss Show	576218446
266	The Duncan Trussell Family Hour	StarTalk Radio	17336150
267	The Duncan Trussell Family Hour	The Doug Stanhope Podcast	2332927546
268	The Duncan Trussell Family Hour	Bitch Sesh: A Real Housewives Breakdown	31158720
269	The Duncan Trussell Family Hour	Put Your Hands Together with Cam and Rhea	4564777823
270	The Duncan Trussell Family Hour	Watch What Happens Live with Andy Cohen	0
271	The Duncan Trussell Family Hour	Rap Radar Podcast	0
272	The Duncan Trussell Family Hour	The Vlad Couch	0
273	The Duncan Trussell Family Hour	Allegedly with Theo Von & Matthew Cole Weiss	76569169
274	The Duncan Trussell Family Hour	This Life #YOULIVE With Dr Drew	423938669
275	The Duncan Trussell Family Hour	With Friends Like These	0
276	The Duncan Trussell Family Hour	The Axe Files with David Axelrod	0
277	The Duncan Trussell Family Hour	Politically Re-Active with W. Kamau Bell & Hari Kondabolu	0
