	Pete Holmes	Nick Thune	Moshe Kasher	Jen Kirkman	Kurt Braunohler	Kumail Nanjiani	Eddie Pepitone	Jonah Ray	Ari Shaffir	Jackie Kashian	dates
33	0.0007703018243495313	0.0023072676636238447	0.004195546931613034	0.0017025645051123293	0.0004033147859626362	0.0016117698802931041	0.004920454014788447	0.001613246968472131	0.0003187254264817782	0.0011349042404082124	2012-10-01
34	0.0008198970584410121	0.0024045255925811324	0.003754786183075119	0.001839748753403718	0.00044325632183346466	0.001715135480823131	0.004444918066234695	0.0016984429808040323	0.0004961976639877572	0.00119598750346323	2012-11-01
35	0.0008522047090950451	0.002573117780906678	0.002928336610190451	0.0019397874903926372	0.0004921053008509317	0.0018434984458922902	0.0036015994519121835	0.0017733711527255882	0.0005393446529941358	0.0012675379424583282	2012-12-01
36	0.0010644019917060135	0.002698182400256132	0.002793042959638461	0.002020175741529885	0.0021624425460085184	0.0018889703738660941	0.0032571450146847212	0.0018000428735879767	0.0011128383170328588	0.0012724376379056634	2013-01-01
37	0.0010241543800776315	0.002633059088699725	0.0024408352436374003	0.001896636407961959	0.0031602636818831064	0.0019707894238829575	0.0027995308230374786	0.001705543690697353	0.0012806276642829222	0.001198218273148903	2013-02-01
38	0.001002481414939459	0.002612407012944268	0.0022058081263143805	0.0018641409807740401	0.0030103920819259714	0.0019649739643948527	0.0025399759587383403	0.0016809436131056809	0.0013790154850951395	0.0014297137518095714	2013-03-01
39	0.0009903406869513312	0.002588148487553571	0.0020185073058472283	0.0030152153136637147	0.002917175151133666	0.001989266129194682	0.002322515704030104	0.0016565272849393723	0.0015095371477507238	0.0015432393995919436	2013-04-01
40	0.0010443791511290119	0.0026245625900037754	0.0020670010184563096	0.0033841129841156023	0.0032652906862277904	0.0027496125486415057	0.002913183512341882	0.0016747053749489765	0.0018476495181252131	0.0018893901451449713	2013-05-01
41	0.0009909891699784704	0.0024801874837487967	0.0019267502901964917	0.0034345341726644504	0.0032605965931568497	0.002946078074239484	0.0026731269038013697	0.001586479510781038	0.0020549429887215627	0.002089686427160476	2013-06-01
42	0.0009141358185112615	0.002306773648094049	0.0018844213919506406	0.0033767315090505513	0.0032111255410041165	0.0029447382324133938	0.0034873419038805534	0.0014658075755604521	0.0021175813322055342	0.0021026421165399323	2013-07-01
43	0.0011073164479841187	0.0022166251827758824	0.0018737152101328492	0.00340348850393723	0.0032045523336738527	0.004413797065420676	0.003471936065886042	0.0014029518544138918	0.0022327472398331744	0.00223167637056487	2013-08-01
