	pr	hub	auth	eccentricity	closeness	betweenness	degree_cen	eigen
Brent Gill	0.00010845707624969973	0.0007096203264458472	0.0	5	0.28413469592896634	6.926068776414647e-05	0.0023584905660377358	0.00015141512664143
Kimmy Gatewood	0.00010845707624969973	0.000894517844086535	0.0	6	0.2248442264351054	1.9743403446859783e-07	0.004127358490566038	0.010043759188949597
Stephanie Wittels Wachs	0.00010845707624969973	0.00025188905423663036	0.0	5	0.31945752495761914	1.2174314950554778e-05	0.001768867924528302	0.015416600775277683
Peter Sagal	0.00015806945320992035	3.080748782368322e-05	0.00011576875882203558	5	0.3335299901671583	5.19792654762397e-06	0.0029481132075471696	0.005659368743168004
Peter Serafinowicz	0.00010845707624969973	0.00030338420551430736	0.0	5	0.32163853593779634	1.7243181947441014e-06	0.001768867924528302	0.0010648218840207983
Lauren Lapkus	0.00010845707624969973	0.0019636212417826053	0.0	5	0.2961410860834643	4.5472048287043256e-05	0.0023584905660377358	0.005384512097697312
Peter Joseph	0.00010845707624969973	0.00021450264665284777	0.0	5	0.3167725065371685	2.3829942291963347e-07	0.0023584905660377358	0.0359948881086138
Scott Sigler	0.00010845707624969973	0.0004001274741569072	0.0	5	0.33471482139332936	6.71131464202292e-05	0.0023584905660377358	0.003861131617278113
Caitlin Doughty	0.00010845707624969973	3.440051121523465e-05	0.0	4	0.38466772510773417	0.0011159996452522363	0.01061320754716981	0.006601129412347565
Bruce Lipton	0.00010845707624969973	0.0001860903305304172	0.0	5	0.32176057674065645	4.877583174073121e-06	0.001768867924528302	0.0006611097065199886
John Dickerson	0.00010845707624969973	3.051625694461705e-06	0.0	5	0.3520863608054806	0.0006126528210950464	0.0023584905660377358	0.003379828395429235
Sal Vulcano	0.00010845707624969973	0.0014658675810702672	0.0	5	0.27166426397565274	5.990950569818758e-05	0.001768867924528302	0.0010845538514788204
Leonard Maltin	0.0017967440199465176	0.00017660261964113543	0.003332660481876221	5	0.3255278310940499	0.0	0.001768867924528302	0.02670095947839875
Kevin Nealon	0.00010845707624969973	0.0009763900626522759	0.0	5	0.2930706756523242	2.4979216339794216e-05	0.001768867924528302	0.016593765769856137
Morgan Murphy	0.00010845707624969973	0.0014380123089534178	0.0	5	0.3499793644242674	1.1815715391387305e-05	0.005306603773584905	0.018825927175399264
Andrew Santino	0.00010845707624969973	0.0018227559930426508	0.0	5	0.35600335852225024	0.008409531467412844	0.033608490566037735	0.02628631503555786
Chris Burns	0.00010845707624969973	0.0002564271781418799	0.0	5	0.34954657873042044	5.4686979765143405e-06	0.004127358490566038	0.029849201411558314
James Franco	0.00010845707624969973	0.00014033977313939608	0.0	4	0.38138070609399594	9.982334703149974e-05	0.005896226415094339	0.0056394552475617
Buck Angel	0.00010845707624969973	0.00018408148932245444	0.0	5	0.3726653482751044	0.00021748599677132548	0.005896226415094339	0.004517004139617999
Dave Hill	0.00010845707624969973	0.0012285853417374987	0.0	5	0.3158875023281803	1.458414581442079e-07	0.001768867924528302	0.0034617557266754806
Harland Williams	0.00010845707624969973	0.0002658020670269333	0.0	5	0.31760299625468164	7.245833737312671e-06	0.0023584905660377358	0.0009487863037027722
Gary Cannon	0.00010845707624969973	0.0012869059694776183	0.008088230516727626	5	0.3324838267006469	0.00012980885453838965	0.001768867924528302	0.005779100626093271
Brendan Schaub	0.005440804798089399	0.00020694723887035676	0.0	5	0.2812137290664898	2.1082422151047966e-08	0.001768867924528302	0.06545400020598276
Hunter Maats	0.00010845707624969973	0.00022281743496198607	0.0	5	0.31553488372093025	0.0	0.001768867924528302	0.01771768834196646
Johann Hari	0.00010845707624969973	3.366484432979287e-05	0.0	4	0.40516005733397037	0.010085652616864699	0.04775943396226415	0.0041319351210284475
Matt Taibbi	0.00010845707624969973	0.0010952333429640275	0.0	5	0.36418295039725146	0.00036053653675685934	0.0047169811320754715	0.0005825195644203492
Kimberly Clark	0.00010845707624969973	0.0005193554706502302	0.0	5	0.3322884012539185	9.943211000710475e-05	0.0023584905660377358	0.015700180652769673
Paul Reiser	0.00010845707624969973	0.0014401831484641724	0.0	5	0.2816807839229364	8.888491701786759e-05	0.001768867924528302	0.0004500323181530223
John Hodgman	0.00010845707624969973	0.001550857690584708	0.0	5	0.334913112164297	7.921008727273093e-08	0.0023584905660377358	0.02456617266525238
Anthony Jeselnik	0.00010845707624969973	0.0008230528855918731	0.0	5	0.2800990916597853	7.406907783040098e-05	0.001768867924528302	0.029475478321527176
