	name	hosts	imgurl	categories	description	percent_unique	num_guests	num_unique	avg_day_diff	active	premier	avg_ep_lengths	cat_bias	hub_leader_score	bt_diff_leader_score	close_rank	bt_rank	degree_rank
11	The Rubin Report	['Dave Rubin']	https://dfkfj8j276wwv.cloudfront.net/images/26/c5/8b/5a/26c58b5a-3265-47af-baa3-8fcb03552e8b/1667b2b70b03d6be83ea88721bba31e5a3b1163b34be18d15dc871ab51ec406353f7fa688c37e521bd87211ad78acc268c0cc7b860c196b611674f2dd0b3786e.jpeg	['News & Politics', 'Comedy', 'Society & Culture']	"
      Care about free speech? Tired of political correctness? Like discussions about big ideas? Watch Dave Rubin on The Rubin Report. Real conversations, unfiltered rants, and one on one interviews with some of the most interesting names in news and entertainment. Comedians, authors, and influencers join Dave each week to break down the latest in politics and current events. Real people, real issues, real talk.
New episodes every Friday!
    "	51.1	182	93	4.5	True	2015-09-11 16:00:00	01:08:46	6.9	0	0	57	16	60
12	Comedy Bang Bang	['Scott Aukerman']	https://dfkfj8j276wwv.cloudfront.net/images/9f/09/33/49/9f093349-89d6-436b-ad97-1e6de2bc95e4/f5549c7f8f4b94c14765e5d186cbd701a8e30673abe6afc4cd8d3e3280a60b403371cc6c53dd99c5a96c091f5d8f052a7034d3f1c3532078a7b494b62094ce0f.jpeg	['Comedy']	"Join host Scott Aukerman (""Comedy Bang! Bang!"" on IFC, ""Mr. Show"") for a weekly podcast that blends conversation and character work from today's funniest comedians. While Scott begins by traditionally interviewing the celebrities, the open-door policy means an assortment of eccentric oddballs can pop by at any moment to chat, compete in games, and engage in comic revelry. With all that, and regular bonus episodes, we bet your favorite part will still be the plugs!
Looking for the archives? All episodes older than 6 months can be found exclusively on Stitcher Premium, ad-free. Go to stitcher.com/premium and use promo code EARWOLF for 1 month free (and $5 off the annual plan!)"	14.7	95	14	20.0	True	2010-05-06 17:00:00	01:31:22	17.0	0	0	39	63	41
13	H3 Podcast	['Ethan Klein']	http://static.libsyn.com/p/assets/4/4/3/c/443cb5e4b2df7938/NEW_Podcast_Logo_SQUARE.png	['Comedy']	The official podcast of comedians Ethan & Hila Klein of h3h3productions.	66.7	57	38	8.0	True	2016-12-20 08:23:08	02:04:00	18.1	0	0	103	98	106
14	WTF with Marc Maron Podcast	['Marc Maron']	http://static.libsyn.com/p/assets/6/c/a/3/6ca38c2fefa1e989/WTF_-_new_larger_cover.jpg	['Comedy', 'Arts', 'Performing Arts', 'TV & Film']	Comedian Marc Maron is tackling the most complex philosophical question of our day - WTF? He'll get to the bottom of it with help from comedian friends, celebrity guests and the voices in his own head.	33.3	96	32	25.1	True	2011-12-05 08:00:00	01:29:59	7.4	0	0	26	25	25
15	The Church of What's Happening Now: With Joey Coco Diaz	['Joey Diaz']	http://static.libsyn.com/p/assets/0/9/2/b/092b6071107e1f7d/itunes.jpg	['Comedy']	The Church Of What's Happening Now With: Joey Coco Diaz is a twice-weekly podcast hosted by Comedian Joey Coco Diaz along with his co-host Lee Syatt. Joey doesn't hold anything back and let's you know exactly what's on his mind. Joey and Lee are joined by one of Joey's friends, Comedians, Actors, Writers and Director's to name a few. We look forward to having you as a member of The Church.	49.8	215	107	2.7	True	2014-03-23 18:00:53	01:55:47	20.2	0	0	38	40	38
16	Your Mom's House with Christina P. and Tom Segura	['Tom Segura', 'Christina Pazsitzky']	http://static.libsyn.com/p/assets/f/a/9/9/fa99383b96617676/YMH_ATCcover_1.jpg	['Comedy']	Christina Pazsitzky and Tom Segura are comedians who are also married. They are the Mommies and they welcome you to join them. Dental updates! Dudes! Stories! Wiping!	29.7	64	19	16.1	True	2014-01-15 06:16:42	01:37:33	13.2	0	0	29	47	29
17	Harmontown	['Dan Harmon']	https://dfkfj8j276wwv.cloudfront.net/images/89/a3/a0/38/89a3a038-05d1-494d-b1e1-0c4767fccdd8/675f78e08433fc7acfa1d068f9455065988e39d6676f6570e99b295f832fe96c8a6df5bb8d06873a33266c5f66b47cce870543d99e9bf3e7d88d780d6475a373.jpeg	['Comedy']	Self destructive writer Dan Harmon claims he will one day found a colony of like-minded misfits. He’s appointed suit-clad gadabout Jeff Davis as his Comptroller and bearded dreamboat Spencer Crittenden as his Dungeon Master. It’s like a neurotic town hall meeting, often with alcohol and famous people.	53.3	75	40	4.4	True	2013-03-15 06:57:07	02:11:15	71.1	0	0	48	64	47
18	Freedomain Radio with Stefan Molyneux	['Stefan Molyneux']	http://www.freedomainradio.com/images/xmlfeed/iTunes_Podcast_Avatar_Latest.png	['News & Politics', 'Education/Higher Education', 'Religion & Spirituality', 'Society & Culture/Philosophy', 'Society & Culture/History', 'News & Politics', 'Education', 'Higher Education', 'Religion & Spirituality', 'Society & Culture', 'Philosophy', 'Society & Culture', 'History']	The logic of personal, philosophical and political freedom	58.2	67	39	3.5	True	2017-07-18 18:14:00	00:58:58	8.7	0	0	133	139	137
19	Econtalk	['Russ Roberts']	http://files.libertyfund.org/econtalk/EconTalkCDcover1400.jpg	['Education', 'Higher Education', 'Science & Medicine', 'Social Sciences', 'Business']	EconTalk is an award-winning weekly talk show about economics in daily life. Featured guests include renowned economics professors, Nobel Prize winners, and exciting speakers on all kinds of topical matters related to economic thought.  Host Russ Roberts, of the Library of Economics and Liberty and the Hoover Institution, draws you in with lively guests and creative repartee.  Topics include health care, business cycles, economic growth, free trade, education, finance, politics, sports, book reviews, and the curiosities of everyday decision-making. Look for related readings and the complete archive of previous shows at EconTalk.org, where you can also comment on the podcasts and ask questions.	76.7	374	287	7.6	True	2007-01-08 12:15:00	01:06:12	34.4	0	0	110	14	115
20	Real Time with Bill Maher	['Bill Maher']	http://static.libsyn.com/p/assets/a/0/6/1/a061ceb8595319af/billmaher_logo1400.jpg	['News & Politics']	Download and watch full episodes of Real Time with Bill Maher including his New Rules and Overtime segments with his guest panelists. New episodes of Real Time with Bill Maher air Fridays at 10, only on HBO.	58.5	398	233	1.3	True	2015-02-23 04:00:00	00:36:06	13.8	0	0	20	3	21
